iter	Passed	Remaining
486	601	633
487	602	631
488	602	629
489	603	627
490	603	625
491	608	628
492	612	629
493	613	627
494	614	626
495	614	624
496	615	622
497	615	620
498	616	619
499	617	617
500	617	615
501	618	613
502	619	611
503	626	616
504	627	614
505	628	613
506	629	611
507	629	609
508	630	608
509	630	606
510	631	604
511	632	602
512	632	600
513	633	598
514	633	596
515	634	594
516	634	593
517	640	596
518	642	595
519	643	593
520	644	592
521	644	590
522	645	588
523	645	586
524	646	584
525	647	583
526	647	581
527	648	579
528	648	577
529	649	576
530	650	574
531	656	577
532	657	575
533	657	574
534	658	572
535	659	570
536	659	568
537	660	567
538	660	565
539	661	563
540	662	561
541	662	559
542	663	558
543	663	556
544	664	554
545	665	552
546	665	551
547	667	550
548	669	549
549	669	548
550	670	546
551	672	545
552	673	544
553	673	542
554	674	540
555	674	538
556	675	537
557	676	535
558	676	533
559	677	532
560	677	530
561	678	528
562	678	526
563	679	525
564	680	523
565	680	521
566	681	520
567	681	518
568	682	516
569	683	515
570	683	513
571	684	511
572	684	510
573	685	508
574	686	507
575	686	505
576	687	503
577	687	502
578	688	500
579	692	501
580	693	500
581	694	499
582	695	497
583	696	496
584	697	494
585	697	492
586	698	491
587	698	489
588	699	488
589	700	486
590	700	484
591	701	483
592	701	481
593	702	480
594	702	478
595	703	477
596	710	479
597	710	477
598	711	476
599	711	474
600	712	472
601	713	471
602	713	469
603	714	468
604	714	466
605	715	465
606	716	463
607	716	462
608	717	460
609	718	459
610	718	457
611	722	458
612	724	457
613	726	457
614	727	455
615	728	454
616	729	452
617	730	451
618	731	450
619	732	448
620	733	447
621	733	445
622	739	447
623	741	446
624	741	445
625	742	443
626	743	442
627	744	441
628	745	439
629	746	438
630	747	436
631	747	435
632	748	433
633	749	432
634	754	433
635	755	432
636	756	431
637	757	429
638	758	428
639	759	427
640	760	425
641	761	424
642	761	423
643	762	421
644	763	420
645	769	421
646	770	420
647	771	418
648	772	417
649	772	416
650	773	414
651	774	413
652	774	411
653	775	410
654	775	408
655	776	407
656	777	405
657	778	404
658	778	402
659	779	401
660	779	399
661	783	400
662	784	398
663	785	397
664	785	395
665	786	394
666	787	393
667	787	391
668	788	390
669	789	388
670	790	387
671	790	385
672	791	384
673	792	383
674	794	382
675	800	383
676	802	382
677	804	381
678	805	380
679	805	379
680	807	378
681	807	376
682	808	375
683	817	377
684	818	376
685	819	375
686	820	373
687	821	372
688	822	371
689	822	369
690	823	368
691	824	366
692	824	365
693	825	363
694	831	364
695	832	363
696	833	362
697	834	361
698	835	359
699	835	358
700	836	356
701	837	355
702	837	353
703	838	352
704	838	351
705	839	349
706	840	348
707	840	346
708	845	347
709	847	346
710	848	344
711	848	343
712	849	341
713	850	340
714	850	339
715	851	337
716	852	336
717	852	334
718	853	333
719	853	332
720	854	330
721	854	329
722	855	327
723	856	326
724	862	327
725	863	325
726	864	324
727	864	323
728	865	321
729	865	320
730	866	318
731	866	317
732	867	315
733	868	314
734	868	313
735	869	311
736	870	310
737	870	309
738	871	307
739	871	306
740	876	306
741	877	305
742	879	304
743	879	302
744	880	301
745	880	299
746	881	298
747	882	297
748	882	295
749	883	294
750	883	293
751	884	291
752	885	290
753	885	288
754	886	287
755	886	286
756	893	286
757	894	285
758	895	284
759	895	282
760	896	281
761	897	280
762	897	278
763	898	277
764	898	276
765	899	274
766	900	273
767	900	272
768	901	270
769	901	269
770	902	268
771	907	267
772	908	266
773	909	265
774	910	264
775	910	262
776	911	261
777	911	260
778	912	258
779	913	257
780	913	256
781	914	254
782	915	253
783	915	252
784	916	250
785	916	249
786	917	248
787	917	246
788	927	247
789	928	246
790	930	245
791	931	244
792	931	243
793	932	241
794	933	240
795	935	239
796	937	238
797	939	237
798	940	236
799	940	235
800	941	233
801	942	232
802	942	231
803	943	229
804	943	228
805	944	227
806	944	225
807	945	224
808	945	223
809	946	222
810	947	220
811	954	221
812	955	219
813	956	218
814	956	217
815	957	215
816	958	214
817	959	213
818	960	212
819	961	210
820	961	209
821	962	208
822	963	207
823	970	207
824	971	206
825	972	204
826	974	203
827	975	202
828	976	201
829	976	200
830	977	198
831	978	197
832	984	197
833	985	196
834	986	194
835	986	193
836	987	192
837	987	190
838	988	189
839	989	188
840	989	187
841	990	185
842	990	184
843	991	183
844	992	181
845	992	180
846	993	179
847	993	178
848	994	176
849	999	176
850	999	175
851	1000	173
852	1001	172
853	1002	171
854	1002	170
855	1003	168
856	1004	167
857	1005	166
858	1006	165
859	1007	163
860	1008	162
861	1009	161
862	1011	160
863	1012	159
864	1014	158
865	1015	157
866	1016	155
867	1018	154
868	1020	153
869	1021	152
870	1025	151
871	1027	150
872	1029	149
873	1030	148
874	1032	147
875	1033	146
876	1035	145
877	1036	143
878	1043	143
879	1044	142
880	1045	141
881	1046	140
882	1047	138
883	1048	137
884	1049	136
885	1050	135
886	1050	133
887	1051	132
888	1052	131
889	1054	130
890	1056	129
891	1056	127
892	1058	126
893	1060	125
894	1061	124
895	1063	123
896	1064	122
897	1068	121
898	1069	120
899	1071	119
900	1072	117
901	1073	116
902	1074	115
903	1075	114
904	1084	113
905	1085	112
906	1086	111
907	1087	110
908	1088	109
909	1090	107
910	1091	106
911	1098	106
912	1100	104
913	1101	103
914	1103	102
915	1104	101
916	1106	100
917	1107	98
918	1112	98
919	1114	96
920	1116	95
921	1117	94
922	1118	93
923	1119	92
924	1120	90
925	1122	89
926	1123	88
927	1129	87
928	1131	86
929	1132	85
930	1134	84
931	1136	82
932	1138	81
933	1145	80
934	1147	79
935	1149	78
936	1150	77
937	1152	76
938	1153	74
939	1154	73
940	1160	72
941	1161	71
942	1162	70
943	1164	69
944	1165	67
945	1166	66
946	1168	65
947	1169	64
948	1173	63
949	1175	61
950	1177	60
951	1178	59
952	1179	58
953	1180	56
954	1182	55
955	1189	54
956	1190	53
957	1191	52
958	1191	50
959	1192	49
960	1193	48
961	1194	47
962	1195	45
963	1195	44
964	1196	43
965	1197	42
966	1198	40
967	1201	39
968	1202	38
969	1203	37
970	1204	35
971	1205	34
972	1206	33
973	1206	32
974	1207	30
975	1208	29
976	1209	28
977	1210	27
978	1211	25
979	1211	24
980	1212	23
981	1218	22
982	1219	21
983	1219	19
984	1220	18
985	1221	17
986	1222	16
987	1223	14
988	1224	13
989	1227	12
990	1228	11
991	1234	9
992	1235	8
993	1236	7
994	1237	6
995	1238	4
996	1239	3
997	1241	2
998	1242	1
999	1243	0
